era,un.name,rname,rank,gdpmean,score,Tech.Eff,Alloc.Eff,gdpIndex
1960,KOR,Asia,129,147.3039346,0.240988697,0.863495908,0.725440956,4.992498035
1960,KWT,Asia,97,4280.968534,0.351118519,0.918301556,0.996721593,8.361934556
1960,LBN,Asia,39,NA,0.526767923,0.757017245,0.861050862,NA
1960,LBR,Africa,66,NA,0.451286962,0.633245258,0.348500281,NA
1960,LBY,Africa,59,NA,0.47780711,0.333893585,0.754796577,NA
1960,LKA,Asia,35,144.0006939,0.528850589,0.838375883,0.868892226,4.969818119
1960,MAR,Africa,83,195.3429557,0.400028173,0.87483255,0.765868422,5.274756761
1960,MDG,Africa,19,146.9585863,0.614579906,0.957383939,0.770265209,4.990150821
1960,MDV,Asia,4,NA,0.867723508,0.56966458,1,NA
1960,MEX,North America,111,476.6091596,0.340467051,0.922981145,0.85269447,6.166696783
1960,MLT,Europe,113,NA,0.295083491,0.892269252,0.708233187,NA
1960,MMR,Asia,68,NA,0.446662532,0.918204626,1,NA
1960,MOZ,Africa,7,NA,0.809247649,0.918540483,0.924595584,NA
1960,MRT,Africa,63,153.6988704,0.456020801,0.469779004,1,5.034995301
1960,MUS,Africa,84,NA,0.398363489,0.392758377,0.957124477,NA
1960,MYS,Asia,106,287.9435674,0.322866129,0.930991353,0.798905395,5.662764514
1960,NAM,Africa,143,NA,0.156395105,0.765352279,1,NA
1960,NGA,Africa,15,107.4397787,0.647307005,0.859673946,0.951939248,4.676930492
1960,NIC,North America,76,220.9813577,0.42159378,0.824506521,0.979893496,5.398078344
1960,NLD,Europe,138,1650.568143,0.176120438,0.96046967,0.927925052,7.408874837
1960,NOR,Europe,116,2091.585611,0.28470084,0.961279117,0.629341828,7.645677723
1960,PAK,Asia,60,113.5536541,0.475455416,0.88904474,0.877934066,4.732275448
1960,PAN,North America,118,640.0852488,0.276858295,0.841771576,0.930641609,6.461601369
1960,PER,South America,107,397.0107537,0.322511633,0.852945055,0.699507708,5.983963368
1960,PHL,Asia,88,208.3006386,0.393650591,0.925667949,0.843552748,5.338982414
1960,PNG,Oceania,93,156.5864217,0.367819471,0.923940249,0.764694198,5.053608073
1960,POL,Europe,131,NA,0.235972868,0.939520982,0.910737095,NA
1960,PRT,Europe,108,530.9955824,0.311161852,0.936127572,0.947113826,6.274753702
1960,QAT,Asia,95,NA,0.364826164,0.591379516,1,NA
1960,RUS,Europe,48,NA,0.501432395,0.93803421,0.835108992,NA
1960,SAU,Asia,82,789.2003427,0.403629959,0.809556429,0.994834462,6.671020208
1960,SDN,Africa,31,140.2990863,0.561655443,0.563,0.998008077,4.943776474
1960,SEN,Africa,23,321.4065128,0.60286265,0.888515834,0.951825206,5.772706717
1960,SGP,Asia,96,557.409271,0.357804744,0.89451688,0.798407483,6.323299748
1960,SLB,Oceania,3,181.8103752,0.901230309,0.900470672,1,5.202964249
1960,SLE,Africa,9,143.7010909,0.752615175,0.629739331,0.75831356,4.967735384
1960,SLV,North America,71,285.9082495,0.439020018,0.504214862,0.720450453,5.655670953
1960,SOM,Africa,38,NA,0.527489935,0.795577291,0.795623183,NA
1960,STP,Africa,13,NA,0.675062392,0.465881146,1,NA
1960,SUR,South America,72,493.1067788,0.431840825,0.323106971,1,6.20072574
1960,SWE,Europe,140,2909.174699,0.16346815,0.869033885,0.925326093,7.975624711
1960,SYC,Africa,28,311.3778754,0.585155228,0.895057513,0.896274102,5.741007208
1960,SYR,Asia,55,256.361007,0.487092341,0.826729069,1,5.546586635
1960,TGO,Africa,51,103.7735779,0.496878553,0.624133218,0.759292933,4.642211391
1960,THA,Asia,73,139.3645224,0.429072042,0.709224707,0.760888235,4.937092963
1960,TON,Oceania,20,NA,0.611863419,0.811953185,1,NA
1960,TTO,North America,87,762.1604251,0.394045416,0.532547882,0.839618849,6.636157065
1960,TUN,Africa,98,236.612331,0.348092428,0.851488035,0.633295914,5.466423068
1960,TUR,Asia,122,423.5232865,0.263301033,0.61257481,0.87648647,6.048608498
1960,TUV,Oceania,10,NA,0.717797193,0.001072818,1,NA
1960,TZA,Africa,50,NA,0.497444379,0.881008847,0.820351992,NA
1960,URY,South America,141,631.1893056,0.15826322,0.872740578,0.657014408,6.447605826
1960,USA,North America,142,3830.432422,0.15728165,0.936174546,0.71453595,8.25073298
1960,VCT,North America,57,174.3582862,0.478559473,0.22558459,1,5.161112298
1960,VEN,South America,44,930.0328602,0.513516643,0.756388617,0.78994474,6.835219919
1960,VNM,Asia,43,NA,0.514346424,0.906189051,0.994560715,NA
1960,VUT,Oceania,5,NA,0.818550262,0.917923882,0.99781462,NA
1960,WSM,Oceania,6,NA,0.810912605,0.086793047,1,NA
1960,YEM,Asia,25,NA,0.600418482,0.68589113,0.801943376,NA
1960,ZAF,Africa,130,564.3668537,0.238938298,0.814310831,0.940628562,6.33570449
1970,AGO,Africa,36,NA,0.528329802,0.763226397,0.504821198,NA
1970,ALB,Europe,123,NA,0.261815531,0.925023462,1,NA
1970,ARE,Asia,67,30039.17813,0.448962558,0.807941359,0.981355548,10.31025775
1970,ARG,South America,139,1968.152895,0.167003997,0.923703215,0.723760117,7.584850765
1970,ATG,North America,52,1248.481227,0.493384448,0.820993479,0.990042762,7.129683073
1970,AUS,Oceania,133,6171.471031,0.220030046,0.909436668,0.699241617,8.727692505
1970,BEL,Europe,135,6513.375686,0.214749952,0.869643722,0.885331137,8.781613139
1970,BEN,Africa,12,192.3761311,0.688742195,0.560825898,0.969162629,5.259452472
1970,BGD,Asia,18,156.8803492,0.627542039,0.81787275,1,5.055483408
1970,BGR,Europe,127,NA,0.252121525,0.701754635,0.607799246,NA
1970,BHR,Asia,56,NA,0.483456871,0.498998965,0.920974961,NA
1970,BHS,North America,62,3667.841087,0.464906157,0.902727748,0.903999687,8.207358508
1970,BLZ,North America,21,733.8647993,0.607443847,0.475044572,0.987159333,6.598324815
1970,BRA,South America,80,1103.962535,0.412039257,0.885308996,0.90039156,7.006661291
1970,BRB,North America,86,1923.599998,0.39549722,0.959831795,0.435675279,7.561953708
1970,BRN,Asia,101,6583.298386,0.344607474,0.692964768,0.996631578,8.792291173
1970,CAN,North America,54,7103.880679,0.490642638,0.890187753,0.504214111,8.868396488
1970,CHL,South America,146,1294.267062,0.118632105,0.841700489,0.502900594,7.165699838
1970,CHN,Asia,8,155.0481332,0.765473303,0.920787114,0.82590973,5.043735606
1970,CHN,Asia,69,155.0481332,0.444714953,0.920787114,0.82590973,5.043735606
1970,CHN,Asia,109,155.0481332,0.306846496,0.920787114,0.82590973,5.043735606
1970,CIV,Africa,22,611.3835663,0.604657435,0.829720848,0.878238678,6.41572453
1970,CMR,Africa,17,356.464524,0.629894742,0.871729541,0.929280312,5.876234723
1970,COD,Africa,75,417.0608827,0.426384127,0.639944125,0.354682205,6.033232213
1970,COG,Africa,70,402.9087657,0.444645336,0.726707612,0.812190983,5.998710148
1970,COL,South America,112,578.8315527,0.295724865,0.641457314,0.567855252,6.361011507
1970,COM,Africa,14,NA,0.674417081,0.906433708,0.741235514,NA
1970,CPV,Africa,61,NA,0.466089281,0.683747804,0.931091239,NA
1970,CRI,North America,103,1005.388958,0.328211161,0.794344526,0.925626344,6.913129769
1970,CUB,North America,78,1278.713141,0.413576655,0.901230811,0.641494674,7.153609493
1970,CYP,Europe,90,1619.736144,0.377404848,0.715751927,0.634251478,7.390018541
1970,DEU,Europe,128,6153.265247,0.242783003,0.82881143,0.936447114,8.724738154
1970,DNK,Europe,134,7700.290835,0.216633221,0.931069138,0.849966893,8.949013378
1970,DOM,North America,58,628.7298881,0.478365168,0.779021432,0.775954518,6.443701734
1970,DZA,Africa,91,884.5361902,0.372478186,0.867349395,0.857885757,6.785063429
1970,ECU,South America,85,1023.350846,0.396644315,0.903002309,0.592897947,6.930837665
1970,EGY,Africa,102,298.4754339,0.344532488,0.419265174,0.480600853,5.698687631
1970,ERI,Africa,53,NA,0.491403911,0.380145581,0.912582839,NA
1970,ESP,Europe,136,2944.394578,0.206117683,0.891373573,0.984682549,7.987658499
1970,FIN,Europe,126,5489.640959,0.255118645,0.85824155,0.942675461,8.610618133
1970,FJI,Oceania,27,980.1698685,0.589598212,0.503443545,0.765195341,6.887725892
1970,FRA,Europe,100,6143.247285,0.345555062,0.98583545,0.937449518,8.723108755
1970,FSM,Oceania,2,NA,0.909266359,0.670366604,0.889557102,NA
1970,GAB,Africa,64,2515.937579,0.454549991,0.988,0.712677494,7.830400808
1970,GBR,Europe,145,4202.097095,0.12728723,0.965917697,0.880981782,8.343338988
1970,GHA,Africa,16,293.8519073,0.635472868,0.800790361,0.841515387,5.683075924
1970,GIN,Africa,40,NA,0.521582999,0.414072027,0.746862916,NA
1970,GMB,Africa,32,204.2703744,0.55890093,0.724558318,0.978945835,5.319444481
1970,GNB,Africa,24,131.8270271,0.602297241,0.481296329,0.938408535,4.881490662
1970,GNQ,Africa,81,315.9814318,0.408156022,0.927144482,1,5.755683452
1970,GRC,Europe,79,3120.869052,0.413243596,0.800944503,0.919655016,8.045866784
1970,GRD,North America,49,979.58403,0.500578354,0.898225001,0.755096744,6.887128022
1970,GTM,North America,77,584.5992467,0.416361127,0.853425501,0.791922173,6.370926564
1970,GUY,South America,46,537.7050205,0.506518939,0.643563687,1,6.287310121
1970,HND,North America,47,460.9881101,0.501765408,0.621691488,0.961881814,6.133372251
1970,HTI,North America,11,127.8944655,0.699963225,0.932671831,0.847548498,4.851205436
1970,IDN,Asia,26,215.0433893,0.594090877,0.963128004,0.91643847,5.370839818
1970,IND,Asia,29,160.1007734,0.582425245,0.947082629,0.899930477,5.075803451
1970,IRL,Europe,147,2939.727805,0.102390556,0.882700689,0.565334153,7.986072273
1970,IRN,Asia,92,1426.343112,0.368042494,0.672558417,0.970313385,7.262869183
1970,ISL,Europe,144,6915.339743,0.151805576,0.577858438,0.769332743,8.841497374
1970,ISR,Asia,121,3942.128227,0.274817835,0.74707983,0.737565749,8.279476016
1970,ITA,Europe,125,3912.500167,0.255898034,0.917355624,0.813988679,8.271931878
1970,JAM,North America,34,1149.352107,0.546889343,0.748581773,0.877570619,7.046953677
1970,JOR,Asia,42,726.6629163,0.517966676,0.332443052,1,6.588462706
1970,JPN,Asia,137,4974.80392,0.203742323,0.981230025,0.993978462,8.512141236
1970,KEN,Africa,41,244.6840246,0.518308334,0.75953493,0.689883443,5.499967683
1970,KHM,Asia,114,96.07122179,0.293324132,0.501904113,0.854833339,4.56508981
1970,KIR,Oceania,1,702.5264276,0.999999999,0.441019181,0.564975815,6.55468302
1970,KOR,Asia,129,753.9740509,0.240988697,0.894407495,0.951869101,6.625357952
1970,KWT,Asia,97,10100.42073,0.351118519,0.870890163,0.739105505,9.220332359
1970,LBN,Asia,39,NA,0.526767923,0.585281809,0.841321793,NA
1970,LBR,Africa,66,NA,0.451286962,0.909654888,0.548829019,NA
1970,LBY,Africa,59,NA,0.47780711,0.362357227,0.990719614,NA
1970,LKA,Asia,35,228.3006417,0.528850589,0.858677594,0.873078354,5.430663364
1970,MAR,Africa,83,473.1497984,0.400028173,0.846623074,0.701475018,6.159412037
1970,MDG,Africa,19,264.325347,0.614579906,0.95346152,0.944980277,5.577180719
1970,MDV,Asia,4,NA,0.867723508,0.679828219,0.995356553,NA
1970,MEX,North America,111,1208.889089,0.340467051,0.900166784,0.778981404,7.097457108
1970,MLT,Europe,113,1614.609002,0.295083491,0.844012674,0.432240264,7.386848103
