"","id","vun.name","rname","un.name","variable","era","long","lat","order","hole","piece","M"
"40","Solomon Islands","Solomon Islands","Oceania","SLB","Tech.Eff",2010,14286280.1608337,-981133.646739947,37,FALSE,"5",0.963338499269832
"41","Solomon Islands","Solomon Islands","Oceania","SLB","Alloc.Eff",2010,14286280.1608337,-981133.646739947,37,FALSE,"5",0.787886157655698
"42","Solomon Islands","Solomon Islands","Oceania","SLB","Rev.Eff",2010,14286280.1608337,-981133.646739947,37,FALSE,"5",0.780242196342636
"43","Sao Tome and Principe","Sao Tome and Principe","Africa","STP","Tech.Eff",2010,676165.427665012,174577.539897731,22,FALSE,"2",0.856776886646781
"44","Sao Tome and Principe","Sao Tome and Principe","Africa","STP","Alloc.Eff",2010,676165.427665012,174577.539897731,22,FALSE,"2",0.798631255957718
"45","Sao Tome and Principe","Sao Tome and Principe","Africa","STP","Rev.Eff",2010,676165.427665012,174577.539897731,22,FALSE,"2",0.722391358422717
"46","Seychelles","Seychelles","Africa","SYC","Tech.Eff",2010,5052239.74223697,-532928.305729343,8,FALSE,"1",0.873696604666934
"47","Seychelles","Seychelles","Africa","SYC","Alloc.Eff",2010,5052239.74223697,-532928.305729343,8,FALSE,"1",0.858373467670916
"48","Seychelles","Seychelles","Africa","SYC","Rev.Eff",2010,5052239.74223697,-532928.305729343,8,FALSE,"1",0.760120795339296
"49","Tonga","Tonga","Oceania","TON","Tech.Eff",2010,-15285301.0049801,-2958883.62614498,32,FALSE,"3",0.828693774837154
"50","Tonga","Tonga","Oceania","TON","Alloc.Eff",2010,-15285301.0049801,-2958883.62614498,32,FALSE,"3",0.589046792761188
"51","Tonga","Tonga","Oceania","TON","Rev.Eff",2010,-15285301.0049801,-2958883.62614498,32,FALSE,"3",0.48397298682913
"52","Tuvalu","Tuvalu","Oceania","TUV","Tech.Eff",2010,16061047.6286798,-1018837.70294293,79,FALSE,"9",0.611812390263138
"53","Tuvalu","Tuvalu","Oceania","TUV","Alloc.Eff",2010,16061047.6286798,-1018837.70294293,79,FALSE,"9",1
